1.1.1	aadam	1.3.14	agens	1.6.7	ainsam	1.8.20	aktus	1.11.13	algmine
1.1.2	aadel	1.3.15	agent	1.6.8	ainuke	1.9.1	akuraat	1.11.14	algselt
1.1.3	aaker	1.3.16	agnaat	1.6.9	ainult	1.9.2	akustik	1.11.15	alguks
1.1.4	aampalk	1.3.17	agoonia	1.6.10	ainuti	1.9.3	akuut	1.11.16	alguni
1.1.5	aaria	1.3.18	agraar	1.6.11	airaan	1.9.4	alahuul	1.11.17	alias
1.1.6	aasima	1.3.19	ahahaa	1.6.12	aistima	1.9.5	alailma	1.11.18	aliinea
1.1.7	aaslina	1.3.20	ahastus	1.6.13	aisting	1.9.6	alajaam	1.11.19	alkohol
1.1.8	aastake	1.4.1	ahelik	1.6.14	aituma	1.9.7	alakiht	1.11.20	alkoov
1.1.9	aastane	1.4.2	aheljas	1.6.15	ajahetk	1.9.8	alakul	1.12.1	allee
1.1.10	aastati	1.4.3	ahendus	1.6.16	ajakadu	1.9.9	alaldus	1.12.2	alleel
1.1.11	aatleja	1.4.4	ahenema	1.6.17	ajakava	1.9.10	alaliik	1.12.3	allegri
1.1.12	aatlema	1.4.5	ahetud	1.6.18	ajakene	1.9.11	alalugu	1.12.4	allegro
1.1.13	aatom	1.4.6	ahhaa	1.6.19	ajakiri	1.9.12	alamalt	1.12.5	allikas
1.1.14	aatrium	1.4.7	ahhaat	1.6.20	ajalaul	1.9.13	alamode	1.12.6	allilm
1.1.15	abajas	1.4.8	ahing	1.7.1	ajalik	1.9.14	alamokk	1.12.7	allkeel
1.1.16	abakala	1.4.9	ahistav	1.7.2	ajaline	1.9.15	alane	1.12.8	allkiri
1.1.17	abhaas	1.4.10	ahistus	1.7.3	ajameri	1.9.16	alang	1.12.9	alllinn
1.1.18	abielu	1.4.11	ahjuauk	1.7.4	ajamine	1.9.17	alanokk	1.12.10	allnurk
1.1.19	abikeel	1.4.12	ahjuorv	1.7.5	ajanorm	1.9.18	alaosa	1.12.11	allosa
1.1.20	abileht	1.4.13	ahjusoe	1.7.6	ajapalk	1.9.19	alapool	1.12.12	allpool
1.2.1	abiline	1.4.14	ahjusuu	1.7.7	ajapiki	1.9.20	alarm	1.12.13	alluks
1.2.2	abinoot	1.4.15	ahkju	1.7.8	ajastik	1.10.1	alasi	1.12.14	alluma
1.2.3	abiruum	1.4.16	ahmama	1.7.9	ajatasa	1.10.2	alastus	1.12.15	allunud
1.2.4	abitu	1.4.17	ahtake	1.7.10	ajati	1.10.3	alatare	1.12.16	alluv
1.2.5	abitus	1.4.18	ahtruma	1.7.11	ajatu	1.10.4	alatasa	1.12.17	allvee
1.2.6	abiverb	1.4.19	ahtuke	1.7.12	ajavaru	1.10.5	alatine	1.12.18	almus
1.2.7	ablas	1.4.20	ahtuma	1.7.13	ajaviit	1.10.6	alatoon	1.12.19	alpaka
1.2.8	abort	1.5.1	ahtus	1.7.14	ajekas	1.10.7	alatsi	1.12.20	alpiaas
1.2.9	absint	1.5.2	ahvima	1.7.15	ajelda	1.10.8	alatu	1.13.1	alraun
1.2.10	abtkond	1.5.3	aiaauk	1.7.16	ajend	1.10.9	alatult	1.13.2	alssosi
1.2.11	action	1.5.4	aialill	1.7.17	ajepuu	1.10.10	alatus	1.13.3	altaan
1.2.12	adrik	1.5.5	aialipp	1.7.18	ajetama	1.10.11	albeedo	1.13.4	altai
1.2.13	advent	1.5.6	aiamaa	1.7.19	ajujaht	1.10.12	albiino	1.13.5	althaak
1.2.14	aedik	1.5.7	aiamaja	1.7.20	ajukest	1.10.13	albikas	1.13.6	althoie
1.2.15	aednelk	1.5.8	aiamuld	1.8.1	ajukoer	1.10.14	album	1.13.7	altmaa
1.2.16	aednik	1.5.9	aiamuru	1.8.2	ajulumi	1.10.15	aldis	1.13.8	altpere
1.2.17	aedruut	1.5.10	aiandus	1.8.3	ajupuud	1.10.16	alemaa	1.13.9	altuks
1.2.18	aedtill	1.5.11	aianuga	1.8.4	ajusong	1.10.17	alemann	1.13.10	alune
1.2.19	aeduba	1.5.12	aiapapa	1.8.5	ajusopp	1.10.18	aleuudi	1.13.11	aluniit
1.2.20	aedvaak	1.5.13	aiapidu	1.8.6	ajuti	1.10.19	algaja	1.13.12	alustus
1.3.1	aedvorm	1.5.14	aiapost	1.8.7	ajuvesi	1.10.20	algama	1.13.13	alveool
1.3.2	aeglane	1.5.15	aiarada	1.8.8	akadi	1.11.1	algatus	1.13.14	amabile
1.3.3	aeglema	1.5.16	aiatool	1.8.9	akantus	1.11.2	algebra	1.13.15	ambra
1.3.4	aegsalt	1.5.17	aiavaas	1.8.10	akmeism	1.11.3	alged	1.13.16	ambuma
1.3.5	aeguma	1.5.18	aietama	1.8.11	akmeist	1.11.4	algfaas	1.13.17	ametlik
1.3.6	aeroob	1.5.19	aijeh	1.8.12	aknaaas	1.11.5	algidu	1.13.18	amfora
1.3.7	aetama	1.5.20	aimama	1.8.13	aknaorv	1.11.6	algkool	1.13.19	amhar
1.3.8	afaasia	1.6.1	aimdus	1.8.14	akolaad	1.11.7	algkude	1.13.20	amhari
1.3.9	aferist	1.6.2	aimuma	1.8.15	aksiaal	1.11.8	algkuju	1.14.1	ammugi
1.3.10	afgaan	1.6.3	aimus	1.8.16	aktiva	1.11.9	algladu	1.14.2	ammukil
1.3.11	afiin	1.6.4	aines	1.8.17	aktsent	1.11.10	alglik	1.14.3	ammuks
1.3.12	afiks	1.6.5	ainik	1.8.18	aktsiis	1.11.11	algloom	1.14.4	ammune
1.3.13	aganane	1.6.6	ainiti	1.8.19	aktuaal	1.11.12	algmed	1.14.5	ammutus
1.14.6	ammuu	1.16.19	apaatne	1.19.12	arhiiv	2.2.5	asine	2.4.18	aukohus
1.14.7	amokk	1.16.20	apama	1.19.13	arhont	2.2.6	asjake	2.4.19	aukraad
1.14.8	amorfa	1.17.1	aparell	1.19.14	ariooso	2.2.7	asjapuu	2.4.20	aukuuba
1.14.9	amorfne	1.17.2	apatiit	1.19.15	arkaad	2.2.8	asjur	2.5.1	auliige
1.14.10	amort	1.17.3	apeks	1.19.16	armaada	2.2.9	asjutu	2.5.2	aumees
1.14.11	ampel	1.17.4	apell	1.19.17	armas	2.2.10	askees	2.5.3	aupauk
1.14.12	amper	1.17.5	apetiit	1.19.18	armsake	2.2.11	askel	2.5.4	aurama
1.14.13	ampluaa	1.17.6	aplalt	1.19.19	armsalt	2.2.12	asoikum	2.5.5	aurist
1.14.14	ampsama	1.17.7	aplasti	1.19.20	armuaeg	2.2.13	assami	2.5.6	aurjas
1.14.15	ampsti	1.17.8	aplaus	1.20.1	armuand	2.2.14	astak	2.5.7	aurusti
1.14.16	ampull	1.17.9	aplomb	1.20.2	armuelu	2.2.15	astang	2.5.8	aurutus
1.14.17	anafoor	1.17.10	aplus	1.20.3	armuiha	2.2.16	asteegi	2.5.9	ausasti
1.14.18	anapest	1.17.11	apokoop	1.20.4	armuke	2.2.17	asteek	2.5.10	austaja
1.14.19	anarhia	1.17.12	apoliid	1.20.5	armulik	2.2.18	astel	2.5.11	auster
1.14.20	anastus	1.17.13	apostel	1.20.6	armutus	2.2.19	aster	2.5.12	autasu
1.15.1	anatoom	1.17.14	apoteem	1.20.7	arpar	2.2.20	astilbe	2.5.13	autor
1.15.2	andam	1.17.15	aprett	1.20.8	arpima	2.3.1	astjake	2.5.14	autus
1.15.3	andeks	1.17.16	apropos	1.20.9	arrak	2.3.2	astro	2.5.15	avaari
1.15.4	andetu	1.17.17	apsakus	1.20.10	arseen	2.3.3	astroid	2.5.16	avagong
1.15.5	andev	1.17.18	apsat	1.20.11	arssin	2.3.4	astuma	2.5.17	avaja
1.15.6	andja	1.17.19	apsiid	1.20.12	arstim	2.3.5	asuala	2.5.18	avakil
1.15.7	andma	1.17.20	apteek	1.20.13	arstima	2.3.6	asuja	2.5.19	avakile
1.15.8	andmik	1.18.1	aptsih	1.20.14	artist	2.3.7	asukas	2.5.20	avakogu
1.15.9	andmine	1.18.2	araabia	1.20.15	artriit	2.3.8	asumaa	2.6.1	avalalt
1.15.10	andunu	1.18.3	araalia	1.20.16	aruanne	2.3.9	asumine	2.6.2	avaldus
1.15.11	andur	1.18.4	araat	1.20.17	aruhein	2.3.10	asund	2.6.3	avali
1.15.12	aneemia	1.18.5	arabism	1.20.18	arukalt	2.3.11	asundus	2.6.4	avalik
1.15.13	anemo	1.18.6	aralt	1.20.19	arukask	2.3.12	asunik	2.6.5	avalohk
1.15.14	anemoon	1.18.7	arapp	1.20.20	aruke	2.3.13	asuur	2.6.6	avalus
1.15.15	angaar	1.18.8	arbuja	2.1.1	aruline	2.3.14	asuurne	2.6.7	avama
1.15.16	anglism	1.18.9	ardenn	2.1.2	aruniit	2.3.15	ateljee	2.6.8	avamaa
1.15.17	anglist	1.18.10	areaal	2.1.3	arusaam	2.3.16	atempo	2.6.9	avameri
1.15.18	angroo	1.18.11	aredalt	2.1.4	arutama	2.3.17	atlas	2.6.10	avamus
1.15.19	aniliin	1.18.12	aredus	2.1.5	arutelu	2.3.18	atlass	2.6.11	avanema
1.15.20	animato	1.18.13	areen	2.1.6	aruti	2.3.19	atoll	2.6.12	avang
1.16.1	anioon	1.18.14	arekeel	2.1.7	arutu	2.3.20	atomism	2.6.13	avaralt
1.16.2	ankur	1.18.15	areldi	2.1.8	arutus	2.4.1	atoonia	2.6.14	avardi
1.16.3	annak	1.18.16	arend	2.1.9	arvama	2.4.2	atsakas	2.6.15	avastus
1.16.4	annes	1.18.17	arendus	2.1.10	arvamus	2.4.3	atseet	2.6.16	avasui
1.16.5	annetus	1.18.18	arenema	2.1.11	arvel	2.4.4	atsih	2.6.17	avatult
1.16.6	annikus	1.18.19	areng	2.1.12	arvesti	2.4.5	atsihh	2.6.18	avatus
1.16.7	annoona	1.18.20	aretama	2.1.13	arvukas	2.4.6	atskoo	2.6.19	avauksi
1.16.8	annus	1.19.1	aretis	2.1.14	arvukus	2.4.7	auahne	2.6.20	avaus
1.16.9	annusti	1.19.2	argiese	2.1.15	arvuti	2.4.8	auahnus	2.7.1	avavesi
1.16.10	anood	1.19.3	argine	2.1.16	arvutu	2.4.9	auamet	2.7.2	avavili
1.16.11	anorak	1.19.4	argisus	2.1.17	arvutus	2.4.10	audio	2.7.3	avavoor
1.16.12	anskop	1.19.5	arglema	2.1.18	aseaine	2.4.11	audion	2.7.4	avesta
1.16.13	antrakt	1.19.6	arglev	2.1.19	asendus	2.4.12	augment	2.7.5	baaba
1.16.14	antud	1.19.7	arglik	2.1.20	asenema	2.4.13	augur	2.7.6	baarmen
1.16.15	anuvalt	1.19.8	argoo	2.2.1	asetuma	2.4.14	auhind	2.7.7	babiit
1.16.16	aoajal	1.19.9	argoon	2.2.2	asiaat	2.4.15	aukas	2.7.8	bairaam
1.16.17	aopuna	1.19.10	argselt	2.2.3	asima	2.4.16	aukiri	2.7.9	bajaan
1.16.18	aovalge	1.19.11	arhaar	2.2.4	asimuut	2.4.17	auklik	2.7.10	bakaraa
2.7.11	bakhant	2.10.4	betoon	2.12.17	bronh	2.15.10	demiurg	2.18.3	draiv
2.7.12	bakid	2.10.5	biisam	2.12.18	bronho	2.15.11	denaar	2.18.4	drapp
2.7.13	bakter	2.10.6	biitel	2.12.19	brooker	2.15.12	denim	2.18.5	draviid
2.7.14	balanss	2.10.7	biitnik	2.12.20	bruto	2.15.13	dentiin	2.18.6	dreen
2.7.15	balkaar	2.10.8	biljon	2.13.1	bubert	2.15.14	dentist	2.18.7	drell
2.7.16	balker	2.10.9	binaar	2.13.2	buboon	2.15.15	derbi	2.18.8	dress
2.7.17	ballaad	2.10.10	binoom	2.13.3	budism	2.15.16	derma	2.18.9	drill
2.7.18	ballast	2.10.11	biopsia	2.13.4	budist	2.15.17	derrik	2.18.10	droom
2.7.19	ballett	2.10.12	biotiin	2.13.5	buduaar	2.15.18	dessant	2.18.11	druiid
2.7.20	ballist	2.10.13	biplaan	2.13.6	bukett	2.15.19	detail	2.18.12	druus
2.8.1	balloon	2.10.14	bisarne	2.13.7	buklee	2.15.20	detriit	2.18.13	duaal
2.8.2	balsa	2.10.15	bister	2.13.8	buklet	2.16.1	deutron	2.18.14	dualism
2.8.3	balsam	2.10.16	bistroo	2.13.9	bulatt	2.16.2	deviis	2.18.15	dualist
2.8.4	balti	2.10.17	bitter	2.13.10	bulla	2.16.3	devon	2.18.16	dublee
2.8.5	banaan	2.10.18	bjass	2.13.11	bulvar	2.16.4	diabeet	2.18.17	dubloon
2.8.6	bandiit	2.10.19	blanko	2.13.12	burger	2.16.5	diadeem	2.18.18	dubnium
2.8.7	bangalo	2.10.20	bleiser	2.13.13	burgund	2.16.6	diakon	2.18.19	duett
2.8.8	bantu	2.11.1	blokaad	2.13.14	buridan	2.16.7	dialekt	2.18.20	dumping
2.8.9	baptist	2.11.2	blokk	2.13.15	burka	2.16.8	dialoog	2.19.1	durian
2.8.10	barakk	2.11.3	blokker	2.13.16	burlakk	2.16.9	diastol	2.19.2	duuma
2.8.11	barett	2.11.4	blusoon	2.13.17	burlesk	2.16.10	diatees	2.19.3	duumvir
2.8.12	barhaan	2.11.5	bluus	2.13.18	burnout	2.16.11	dieet	2.19.4	dzeeta
2.8.13	bariton	2.11.6	bohrium	2.13.19	burnus	2.16.12	diiler	2.19.5	dzott
2.8.14	barkass	2.11.7	boikott	2.13.20	bursa	2.16.13	diisel	2.19.6	ealdasa
2.8.15	barokk	2.11.8	boiler	2.14.1	butaan	2.16.14	diiva	2.19.7	ealine
2.8.16	baronet	2.11.9	bojaar	2.14.2	buteen	2.16.15	diivan	2.19.8	ebaaus
2.8.17	barrel	2.11.10	boksiit	2.14.3	charter	2.16.16	diktaat	2.19.9	ebakoht
2.8.18	basaal	2.11.11	boliid	2.14.4	coitus	2.16.17	dingo	2.19.10	ebard
2.8.19	baskakk	2.11.12	bombard	2.14.5	curry	2.16.18	dioriit	2.19.11	ebausk
2.8.20	baski	2.11.13	bonne	2.14.6	daalia	2.16.19	diplom	2.19.12	ebelalt
2.9.1	bassein	2.11.14	boonus	2.14.7	daativ	2.16.20	dipood	2.19.13	eblakas
2.9.2	bastion	2.11.15	boora	2.14.8	daatum	2.17.1	dipool	2.19.14	ebola
2.9.3	batik	2.11.16	booraks	2.14.9	daina	2.17.2	disain	2.19.15	eboniit
2.9.4	batika	2.11.17	boorima	2.14.10	damast	2.17.3	diskus	2.19.16	ecstasy
2.9.5	batist	2.11.18	boraat	2.14.11	dammara	2.17.4	dispuut	2.19.17	edasine
